lote_id,valor_total_fun,peso_usado_fun,tiempo_fun
0,9536,6501,0.00021004676818847656
1,7830,4518,0.00020051002502441406
2,8441,5604,0.00017309188842773438
3,8980,6620,0.00020265579223632812
4,7854,4730,0.0001652240753173828
5,8651,5941,0.0001647472381591797
6,9567,6835,0.00020742416381835938
7,9015,6353,0.00016832351684570312
8,9037,6581,0.00019788742065429688
9,9529,6974,0.00018477439880371094
10,8114,4361,0.0001761913299560547
11,8307,5572,0.00017499923706054688
12,9032,5997,0.00018167495727539062
13,8421,5098,0.0001811981201171875
14,8022,5047,0.0001697540283203125
15,8912,6179,0.0001685619354248047
16,8052,4927,0.0001735687255859375
17,9171,6064,0.00017309188842773438
18,9388,5556,0.0001976490020751953
19,8682,5585,0.00015020370483398438
20,9188,6478,0.00016021728515625
21,9111,6463,0.00012302398681640625
22,7623,4247,0.00015926361083984375
23,8092,5326,0.00011539459228515625
24,7522,4194,0.00011301040649414062
25,7920,4843,0.00011563301086425781
26,8376,5709,0.00010919570922851562
27,7997,4521,0.0001227855682373047
28,8085,4590,0.00011682510375976562
29,8045,4326,0.0001327991485595703
30,8763,5652,0.00012111663818359375
31,8580,5423,0.00012183189392089844
32,9364,6834,0.00013113021850585938
33,8144,5100,0.0001227855682373047
34,7535,4471,0.00013828277587890625
35,8571,5987,0.0001201629638671875
36,8881,7038,0.00011277198791503906
37,7681,4777,0.0001125335693359375
38,7826,4210,0.00011181831359863281
39,9140,5848,0.00012135505676269531
40,8535,5470,0.00011515617370605469
41,7732,4272,0.00010657310485839844
42,9219,6447,0.00010895729064941406
43,7748,4563,0.00010585784912109375
44,8230,5496,0.00010657310485839844
45,9152,6356,0.00010848045349121094
46,8487,5191,0.00010538101196289062
47,8183,4926,0.00010609626770019531
48,9015,6600,0.00012063980102539062
49,8250,5260,0.00011587142944335938
50,6966,4240,0.00011157989501953125
51,9158,6608,0.00012040138244628906
52,9371,6479,0.00011229515075683594
53,8143,5392,0.00010824203491210938
54,7737,4188,0.00010418891906738281
55,8259,5651,0.00010585784912109375
56,8247,5396,0.00010466575622558594
57,8577,5616,0.0001068115234375
58,8711,6113,0.00011396408081054688
59,9419,6399,0.00010585784912109375
60,7934,5021,0.00010371208190917969
61,8600,5598,0.00010538101196289062
62,8038,4897,0.00011086463928222656
63,8310,4975,0.00011134147644042969
64,8834,5927,0.00010418891906738281
65,8659,6150,0.00010585784912109375
66,8500,6129,0.0001239776611328125
67,9200,6624,0.00010776519775390625
68,8481,6128,0.00010442733764648438
69,7652,4614,0.00011301040649414062
70,8870,5522,0.00013399124145507812
71,8516,6031,0.00013494491577148438
72,7306,4092,0.00011849403381347656
73,7571,4143,0.00011515617370605469
74,9925,6710,0.00011968612670898438
75,8064,5104,0.00011968612670898438
76,9794,6746,0.00012063980102539062
77,8802,5301,0.000118255615234375
78,7556,4334,0.0001304149627685547
79,8632,5858,0.00011849403381347656
80,8716,5264,0.0001232624053955078
81,7400,4136,0.00013017654418945312
82,8676,6055,0.00012087821960449219
83,8336,5656,0.0001926422119140625
84,8975,6197,0.00014972686767578125
85,9178,6461,0.0006239414215087891
86,8578,6000,0.0001270771026611328
87,9322,6728,0.0001957416534423828
88,9371,6836,0.00016236305236816406
89,8386,5043,0.00011968612670898438
90,8286,5311,0.00011968612670898438
91,9200,7333,0.00014090538024902344
92,8496,5663,0.00014781951904296875
93,8188,4920,0.00012946128845214844
94,9326,6188,0.00012230873107910156
95,8902,6316,0.00014519691467285156
96,7827,4283,0.00014710426330566406
97,9466,6974,0.0001232624053955078
98,8649,5720,0.00012087821960449219
99,7549,4980,0.0001366138458251953
